threads_per_socket,static_mean,Speedup_static
1,8.518618,1
2,4.293469,1.98408745934814
4,2.176864,3.91325227483205
6,1.471167,5.79038137750507
8,1.131576,7.52810063133188
10,0.904769,9.41524079626955
12,0.763153,11.1623986277981
14,0.656423,12.9773301666761
16,0.589782,14.443672407771
18,0.530421,16.060106971632
20,0.489029,17.4194536520329
22,0.437473,19.4723285779922
24,0.416917,20.4324074096283
26,0.378944,22.4798862100996
28,0.365508,23.306242271031
30,0.344258,24.7448657692777
32,0.325941,26.1354600986068
34,0.315506,26.9998605414794
36,0.288409,29.5365886640153
38,0.282598,30.1439429861499
40,0.264827,32.1667277128087
42,0.26311,32.3766409486527
44,0.245946,34.6361315085425
46,0.236077,36.0840657920933
48,0.238276,35.7510534002585
50,0.222098,38.355221568857
52,0.21707,39.2436449071728
54,0.21839,39.0064471816475
56,0.204954,41.5635606038428
58,0.199948,42.6041670834417
60,0.19946,42.7084026872556
62,0.194947,43.6970971597409
64,0.186309,45.7230622245839
