threads_per_socket,ordered_mean,static_mean,Speedup_ordered,Speedup_static
1,21.421995,9.581258,1,1
2,21.471024,4.818115,0.997684,1.989775
3,21.497937,3.228016,0.996198,2.971344
4,21.504479,2.444499,0.995906,3.920526
5,21.545833,1.96153,0.994256,4.889239
6,21.608353,1.646974,0.991538,5.812016
7,21.712665,1.421079,0.987419,6.738697
8,21.729283,1.253646,0.986708,7.644123
9,21.827475,1.118352,0.981945,8.563506
10,21.942702,1.011114,0.975867,9.462028
11,22.026026,0.923124,0.972306,10.388688
12,22.09332,0.856101,0.96966,11.187537
