matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.01403,0.002195,1156.814491,105.925448
3000,0.044187,0.003143,1228.065028,84.882712
4000,0.108822,0.020139,1219.623245,236.267799
5000,0.219166,0.067547,1222.649944,267.960249
6000,0.346187,0.103869,1329.337265,280.71493
7000,0.472189,0.12155,1514.311376,248.787675
8000,0.688444,0.17,1543.47162,232.181592
9000,0.915478,0.215334,1646.082847,232.87477
10000,1.244501,0.242344,1644.569726,197.160679
11000,1.857045,0.327464,1459.728291,152.245992
12000,2.026982,0.344191,1735.516081,183.816858
13000,2.562614,0.39181,1739.294654,164.352236
14000,3.235783,0.678411,1741.092453,217.309622
15000,3.995465,0.481322,1705.738831,137.343036
16000,4.674763,0.510928,1767.045679,135.624187
17000,5.609088,0.549545,1763.677513,122.414093
18000,6.927049,1.350999,1723.215293,203.264144
19000,8.518009,1.571693,1646.285566,197.003124
20000,9.338005,1.205641,1731.448977,140.968493
