matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.005727,0.002546,2988.940931,463.988695
3000,0.019081,0.002427,2858.514667,224.909578
4000,0.040994,0.003015,3135.6483,181.560678
5000,0.082555,0.018106,3105.76473,363.726499
6000,0.151225,0.02937,2957.929471,525.690491
7000,0.273116,0.083808,2686.643996,576.99271
8000,0.376022,0.115891,2879.160596,512.732185
9000,0.512854,0.145086,2983.749532,512.609381
10000,0.614654,0.148784,3351.854659,419.308204
11000,0.830134,0.19805,3314.962854,465.565421
12000,1.042696,0.230431,3408.477649,439.658464
13000,1.293235,0.273988,3484.973352,423.700139
14000,1.565975,0.313165,3584.856926,414.215772
15000,1.903501,0.358494,3619.514509,400.014046
16000,2.252372,0.288926,3676.048171,307.912894
17000,2.767128,0.67649,3666.712126,482.051116
18000,3.214203,0.467622,3674.743955,318.001325
19000,3.730832,0.523051,3721.558994,322.063509
20000,4.30792,0.568835,3754.270084,306.71099
