matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.023761,0.002957,680.092704,54.641615
3000,0.059894,0.008893,920.060823,125.836903
4000,0.133659,0.041176,1048.880621,298.623908
5000,0.24026,0.082195,1129.359761,262.748198
6000,0.398454,0.109553,1135.185002,188.931217
7000,0.677833,0.136999,1038.60327,133.287509
8000,0.979258,0.188286,1069.814569,127.307557
9000,1.413119,0.206969,1045.718287,96.700994
10000,1.852264,0.304132,1096.808022,105.185895
11000,2.46109,0.243333,1089.347111,78.622238
12000,2.962951,0.295692,1174.645927,83.016644
13000,3.756821,0.547257,1184.483253,102.873071
14000,4.385425,0.781658,1273.214386,123.629272
15000,5.419685,1.165651,1278.045757,154.047628
16000,5.704484,0.698552,1450.225864,116.6321
17000,6.893106,1.934244,1483.546885,208.108835
18000,8.001586,2.331942,1521.200669,220.818983
19000,9.205254,2.180825,1531.233795,176.734317
20000,10.460818,2.381689,1568.660582,175.014956
