matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.007231,0.003764,2442.058092,499.20452
3000,0.021831,0.004641,2533.304541,285.479207
4000,0.04483,0.007971,2911.544153,321.429157
5000,0.098129,0.015264,2597.986402,326.478085
6000,0.180109,0.025946,2439.438323,286.531525
7000,0.312676,0.065638,2267.263968,350.417203
8000,0.47275,0.100583,2230.838917,305.748222
9000,0.669283,0.134065,2231.886518,267.884383
10000,0.901667,0.133212,2248.404612,206.86329
11000,1.222802,0.158405,2199.233448,172.29684
12000,1.547855,0.18909,2253.777028,172.678031
13000,1.976729,0.149527,2232.142503,122.846554
14000,2.4109,0.258441,2293.276058,158.150241
15000,3.044138,0.299053,2231.747516,146.521849
16000,3.71652,0.725696,2258.490127,279.265496
17000,4.029811,0.840545,2501.35506,302.957907
18000,4.717909,0.342493,2481.971211,133.764579
19000,5.660041,0.641192,2443.460759,174.948583
20000,6.189895,1.304928,2652.871317,323.678429
