matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024157,0.002604,667.573519,49.125356
3000,0.057882,0.009859,955.377514,135.808427
4000,0.126714,0.021544,1035.730102,151.984643
5000,0.240426,0.049938,1070.011166,146.172842
6000,0.426073,0.065145,1030.467453,109.024595
7000,0.611177,0.077343,1135.523589,104.223332
8000,0.879791,0.102306,1175.150666,96.879612
9000,1.212244,0.134993,1213.557844,97.358085
10000,1.544404,0.155308,1304.240437,92.341906
11000,1.937352,0.186762,1382.757281,90.656861
12000,2.441449,0.239895,1424.788445,94.202555
13000,2.919545,0.312991,1516.257223,104.81331
14000,3.671193,0.775647,1538.479629,206.801521
15000,4.441715,0.921918,1555.004062,172.427158
16000,5.000558,0.472434,1648.090978,104.52978
17000,6.252939,1.377196,1618.102872,213.196623
18000,7.340997,1.495442,1627.904044,192.561897
19000,8.305351,1.561067,1686.431019,185.992548
20000,9.468696,1.203722,1706.402176,130.806229
