matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.01257,0.001978,1292.492263,126.599207
3000,0.033252,0.002474,1630.688335,90.753267
4000,0.06501,0.010253,2004.496783,233.347658
5000,0.114821,0.028579,2252.981587,321.680209
6000,0.179774,0.031589,2464.262131,349.863406
7000,0.272436,0.057618,2595.473914,369.282098
8000,0.395304,0.079755,2659.263107,344.971862
9000,0.546039,0.086824,2715.095414,284.60703
10000,0.690332,0.091763,2931.734697,262.207194
11000,0.92541,0.142831,2922.089859,296.562958
12000,1.131797,0.139409,3086.465272,268.355887
13000,1.360337,0.166998,3260.493884,248.532873
14000,1.672284,0.20839,3313.926141,259.700126
15000,2.066364,0.262263,3298.95913,255.610344
16000,2.443554,0.459171,3432.136456,424.980065
17000,2.915578,0.525156,3445.603851,419.756683
18000,3.443328,0.250566,3400.532522,180.284718
19000,3.933672,0.450897,3519.897861,284.967027
20000,4.567185,0.761572,3570.203272,403.017797
