matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.010678,0.003689,1569.229513,213.359099
3000,0.057706,0.003875,939.681401,58.46278
4000,0.094479,0.019929,1424.362956,333.246116
5000,0.155458,0.036768,1696.81752,379.148188
6000,0.266036,0.085042,1752.97184,412.295641
7000,0.417624,0.15527,1784.34405,400.763874
8000,0.596021,0.207421,1838.760486,371.242636
9000,0.781802,0.259312,1972.112152,339.354219
10000,1.009397,0.314986,2081.265931,337.808978
11000,1.655257,0.411635,1655.124208,192.531362
12000,1.602389,0.415891,2229.363473,290.710328
13000,2.201804,0.9485,2197.730945,479.939204
14000,2.572354,1.03572,2305.944084,436.970601
15000,2.904218,0.564669,2370.018798,238.201474
16000,3.485936,0.658943,2394.075642,234.957574
17000,4.485389,1.67433,2350.768478,432.278987
18000,5.277834,1.824113,2337.662989,374.076299
19000,5.974105,2.0378,2423.270615,380.892214
20000,6.984735,1.677424,2359.450193,298.753567
