matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.006071,0.0025,2796.465404,412.581084
3000,0.014209,0.004033,3947.024926,549.031843
4000,0.038369,0.00461,3369.737218,285.658288
5000,0.076795,0.012812,3324.141721,420.91098
6000,0.116197,0.020204,3818.467747,596.188366
7000,0.175572,0.033645,4041.049639,705.489554
8000,0.264237,0.058626,4038.855056,742.544964
9000,0.407902,0.109401,3790.499678,834.942292
10000,0.533455,0.180963,4004.936204,791.730623
11000,0.6956,0.259672,4099.402314,774.117238
12000,0.892955,0.298553,4104.178233,759.643634
13000,1.086248,0.332462,4236.377466,664.154515
14000,1.35784,0.359746,4176.642605,525.949198
15000,1.555762,0.430044,4493.480557,582.609156
16000,2.009645,0.696306,4311.732877,692.024433
17000,2.239737,0.864411,4689.13655,803.694561
18000,2.570876,0.5626,4645.059348,502.074927
19000,3.024097,0.897102,4703.107514,570.504048
20000,3.568783,1.398551,4799.138397,814.530827
