matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.027487,0.003776,589.005851,50.931122
3000,0.072314,0.012342,768.820586,130.917282
4000,0.118161,0.044133,1253.933723,464.210792
5000,0.193433,0.088553,1517.56421,499.55284
6000,0.296335,0.136052,1655.678907,451.144293
7000,0.450733,0.208897,1699.067176,406.057287
8000,0.627761,0.255136,1764.648103,347.546644
9000,0.841651,0.339257,1857.391783,334.647929
10000,1.13445,0.421164,1863.723444,287.452648
11000,1.466841,0.528194,1907.935189,270.197674
12000,1.840325,0.615496,1967.258506,277.93573
13000,2.553837,1.285747,1908.756648,381.719866
14000,3.187173,1.602228,1918.622319,398.699235
15000,3.819133,1.751958,1924.540882,350.908231
16000,4.689016,2.435066,1946.542775,392.372797
17000,5.403228,2.504552,1986.079338,367.233298
18000,6.17594,2.667823,2027.29911,330.157884
19000,7.452617,3.177166,1962.530177,295.893176
20000,8.36487,2.721752,1991.388153,242.343912
