matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.007165,0.004823,2487.251735,386.546081
3000,0.023201,0.004433,2371.893539,234.497034
4000,0.05274,0.014315,2623.978477,733.002857
5000,0.089435,0.023995,2995.274597,759.768712
6000,0.137592,0.037867,3357.309841,812.554268
7000,0.207813,0.047278,3449.479061,657.300164
8000,0.330903,0.05374,3161.848237,415.92102
9000,0.515839,0.090692,2888.042693,352.005875
10000,0.7353,0.146539,2786.884483,338.416085
11000,1.017574,0.213095,2678.196015,301.802776
12000,1.288722,0.228489,2726.94145,256.166825
13000,1.696279,0.3488,2645.2081,268.185944
14000,1.982394,0.231153,2792.177543,204.513261
15000,2.538514,0.41031,2697.479367,238.158629
16000,3.21723,0.821257,2637.632951,359.068102
17000,3.798221,0.839965,2657.817946,322.673223
18000,4.19095,0.434213,2802.874677,190.799564
19000,5.104907,0.57346,2708.966566,193.913175
20000,6.060113,1.455707,2725.100892,354.27707
