matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.046199,0.01789,395.040373,146.176268
3000,0.085354,0.033101,711.322602,205.142328
4000,0.1611,0.057073,857.279663,179.19663
5000,0.270479,0.088568,981.994141,181.652144
6000,0.403948,0.152045,1136.569109,187.186996
7000,0.550558,0.177071,1306.182761,191.976005
8000,0.713592,0.229307,1499.375473,207.51561
9000,0.935625,0.273477,1616.995461,205.753943
10000,1.180742,0.329448,1752.307762,214.26099
11000,1.463075,0.313534,1860.213561,190.96481
12000,1.902836,0.398938,1856.443049,193.744821
13000,2.263588,0.445644,1980.028877,199.106931
14000,3.008795,1.319636,1991.338877,388.231595
15000,3.494993,1.149705,2026.308893,295.499493
16000,3.865261,0.575111,2146.486407,182.741866
17000,4.895262,1.874637,2149.889353,377.598143
18000,5.813635,2.122167,2131.145164,348.522719
19000,6.350248,2.029106,2257.080389,310.499614
20000,7.232478,1.734793,2270.807879,245.037821
