matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024514,0.004772,665.309445,64.945996
3000,0.057864,0.030001,1159.208498,476.284646
4000,0.094986,0.047332,1590.356106,494.334469
5000,0.14345,0.06475,1950.859003,471.118867
6000,0.215642,0.096232,2191.260122,443.133085
7000,0.292462,0.110374,2515.78333,474.118227
8000,0.388058,0.147739,2810.755423,475.691452
9000,0.494316,0.182267,3126.115751,496.565772
10000,0.613601,0.207936,3414.894368,474.552116
11000,0.777446,0.257818,3573.841443,461.222274
12000,0.905079,0.275915,3968.288502,502.72656
13000,1.110596,0.302305,4083.544582,471.10758
14000,1.332809,0.344657,4239.444373,473.195637
15000,1.580966,0.355552,4373.284665,464.789511
16000,2.11205,0.857536,4199.700201,798.761244
17000,2.261171,0.461636,4436.736349,449.889581
18000,2.621696,0.481073,4527.774686,430.739698
19000,3.151713,0.684002,4452.402283,463.189127
20000,3.397369,0.567097,4781.197273,430.099999
