matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.037897,0.004783,426.66385,35.704598
3000,0.120103,0.007744,451.138217,23.649305
4000,0.282167,0.014845,454.729046,20.902065
5000,0.54489,0.012827,459.049555,10.266217
6000,0.945939,0.030202,457.117434,13.427059
7000,1.533193,0.033265,447.633377,9.281649
8000,2.33496,0.048629,438.730656,8.608622
9000,3.404481,0.040755,428.318845,4.989907
10000,4.623709,0.037072,432.58038,3.388015
11000,6.440384,0.065384,413.370994,4.096304
12000,8.317738,0.163177,415.647657,7.651342
13000,10.546304,0.301413,416.939636,10.531014
14000,13.04215,0.267776,420.953903,8.0096
15000,16.09149,0.36088,419.669718,8.626131
16000,19.18223,0.482795,427.30792,9.780485
17000,22.646398,0.568465,434.133411,9.78223
18000,26.915211,0.541799,433.522745,8.043053
19000,32.054525,0.629648,428.110345,7.74297
20000,37.326874,0.591902,428.748003,6.458861
