matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.018096,0.000753,885.417649,30.364048
3000,0.059146,0.005867,919.273663,63.68649
4000,0.137233,0.010254,936.68891,53.2346
5000,0.263266,0.010725,951.085983,36.28001
6000,0.450365,0.016483,960.432361,33.095654
7000,0.707605,0.0174,970.024961,22.687876
8000,1.05578,0.026762,970.492031,23.399029
9000,1.499934,0.031478,972.452705,19.544049
10000,2.061057,0.041106,970.74853,18.683873
11000,2.774319,0.048941,959.80117,16.242861
12000,3.554675,0.063021,972.53427,16.55224
13000,4.55883,0.100893,964.284221,19.915309
14000,5.693826,0.119754,964.24764,18.871929
15000,6.933908,0.125226,973.774058,16.452553
16000,8.402248,0.149069,975.26879,16.444662
17000,10.082237,0.184202,974.891003,16.741069
18000,12.020479,0.218343,970.645598,16.610106
19000,14.162483,0.233438,968.863846,15.074061
20000,16.384548,0.364736,976.979335,20.199209
