matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024022,0.00083,666.741213,19.552309
3000,0.076232,0.007396,713.196594,50.016827
4000,0.164518,0.009009,780.046702,36.860814
5000,0.320534,0.008869,780.518422,20.598682
6000,0.542622,0.012361,796.536308,17.642522
7000,0.868222,0.016372,790.39582,14.608398
8000,1.267586,0.013053,807.920403,8.291718
9000,1.804,0.01833,808.287427,8.201397
10000,2.484666,0.027047,805.031369,8.64218
11000,3.297991,0.03379,807.242478,8.246951
12000,4.263573,0.036988,810.648462,7.001842
13000,5.404098,0.047378,813.148702,7.084217
14000,6.745179,0.045417,813.654997,5.470221
15000,8.309193,0.047848,812.380025,4.646411
16000,10.040433,0.064976,815.935091,5.252684
17000,12.051043,0.078267,815.399303,5.262165
18000,14.238382,0.085965,819.223846,4.912848
19000,16.738949,0.113424,819.563243,5.527487
20000,19.602468,0.147786,816.269786,6.107236
