matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.012143,0.000875,1322.578727,69.390772
3000,0.038157,0.004833,1429.977864,117.530663
4000,0.085776,0.006938,1499.887951,94.630896
5000,0.169683,0.008732,1476.748339,66.479103
6000,0.282306,0.012681,1533.039202,62.047708
7000,0.444683,0.011717,1543.696054,38.925966
8000,0.654106,0.011428,1565.965838,26.969892
9000,0.930025,0.014027,1568.052044,23.312211
10000,1.281725,0.015348,1560.620215,18.587668
11000,1.682984,0.016118,1581.859083,15.108822
12000,2.198188,0.020329,1572.3381,14.490126
13000,2.777745,0.023603,1581.972053,13.358514
14000,3.435411,0.023593,1597.554894,10.921262
15000,4.280704,0.025436,1576.899101,9.338109
16000,5.151101,0.025781,1590.379415,7.934867
17000,6.147577,0.035114,1598.405198,9.071735
18000,7.295059,0.040188,1598.938523,8.747529
19000,8.61308,0.040965,1592.729857,7.550248
20000,10.099757,0.072898,1584.278598,11.37386
