matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024654,0.000428,649.172997,10.525554
3000,0.077155,0.007,703.886694,44.196778
4000,0.168719,0.01047,761.17902,40.712347
5000,0.335085,0.014365,747.303461,28.57539
6000,0.556913,0.014233,776.189277,18.968828
7000,0.892007,0.022432,769.525727,18.823665
8000,1.304436,0.025126,785.299508,14.830851
9000,1.853917,0.028711,786.627793,11.942933
10000,2.519361,0.044834,794.096144,13.723658
11000,3.449409,0.051937,771.897367,11.349758
12000,4.383211,0.060504,788.60956,10.61433
13000,5.505372,0.070388,798.256843,9.955689
14000,6.98016,0.093477,786.365348,10.229502
15000,8.522581,0.087076,792.094305,7.902226
16000,10.359133,0.106354,790.880807,7.890613
17000,12.514042,0.102831,785.249968,6.331152
18000,15.594715,0.0632,747.957995,3.031267
19000,17.354489,0.177184,790.538631,7.870037
20000,20.098045,0.214316,796.185884,8.306241
