matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.013158,0.000394,1216.902249,31.644015
3000,0.04017,0.003614,1352.289017,89.524189
4000,0.086718,0.005983,1481.43416,78.337433
5000,0.168064,0.00746,1490.066079,57.173465
6000,0.286436,0.013298,1511.039346,61.470134
7000,0.455941,0.016335,1506.344839,49.220352
8000,0.646261,0.015904,1585.420232,37.411112
9000,0.926226,0.021229,1574.925978,34.778208
10000,1.287124,0.017095,1554.121617,20.332359
11000,1.678362,0.024546,1586.404559,22.876789
12000,2.15512,0.024413,1603.826871,17.970712
13000,2.738614,0.036713,1604.744403,21.139768
14000,3.43229,0.039992,1599.145353,18.260346
15000,4.197324,0.042858,1608.332577,16.173503
16000,5.102701,0.057676,1605.625556,17.810088
17000,6.14511,0.058412,1599.137447,14.979753
18000,7.235669,0.080958,1612.21188,17.684962
19000,8.471608,0.086506,1619.457071,16.254786
20000,9.992725,0.084162,1601.276023,13.201971
