matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.034998,0.002008,458.3767,21.018732
3000,0.115154,0.003378,469.311744,12.755029
4000,0.272029,0.006281,470.780603,10.512525
5000,0.528134,0.007116,473.449121,6.289146
6000,0.918425,0.007971,470.405754,4.060272
7000,1.528061,0.013147,448.967925,3.823543
8000,2.279493,0.020629,449.259312,4.035224
9000,3.404736,0.017507,428.238258,2.188133
10000,4.68371,0.03155,427.031225,2.864946
11000,6.483608,0.041067,410.590258,2.58492
12000,8.391214,0.029038,411.864253,1.412967
13000,10.635213,0.06552,413.171379,2.527546
14000,13.337808,0.07153,411.47368,2.194328
15000,16.415038,0.079093,411.217817,1.971526
16000,19.462553,0.099538,420.921754,2.131108
17000,22.87021,0.08251,429.647445,1.542954
18000,27.411911,0.087133,425.512751,1.348408
19000,32.585076,0.123569,420.996269,1.581726
20000,37.835041,0.11858,422.892517,1.314066
