matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.017099,0.000843,937.530927,37.035642
3000,0.056077,0.002574,964.644971,36.829917
4000,0.132173,0.004017,969.261134,27.313056
5000,0.255265,0.00582,979.869324,21.65309
6000,0.443956,0.01027,973.575388,21.859183
7000,0.695016,0.008247,987.165061,11.579544
8000,1.038674,0.011436,985.990465,10.762196
9000,1.475631,0.01711,988.1845,11.411727
10000,2.026739,0.02066,986.90875,10.005323
11000,2.778149,0.02257,958.254872,7.735606
12000,3.475248,0.029032,994.530371,8.24491
13000,4.536488,0.030414,968.633768,6.426113
14000,5.588592,0.042142,982.055593,7.315028
15000,6.823198,0.067083,989.366855,9.636771
16000,8.311611,0.0687,985.675994,8.081656
17000,9.948922,0.09479,987.733287,9.295655
18000,11.719773,0.101505,995.315247,8.557239
19000,13.946744,0.112323,983.661969,7.846443
20000,16.242161,0.097913,985.126122,5.889114
