matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.021806,0.000893,734.776343,24.839425
3000,0.071155,0.002645,759.836234,24.90108
4000,0.160111,0.003528,799.81737,16.918521
5000,0.313349,0.004841,798.019748,12.056824
6000,0.531067,0.004515,813.515604,6.874418
7000,0.850718,0.006794,806.428384,6.406849
8000,1.24893,0.010013,819.95371,6.511272
9000,1.775357,0.008336,821.261231,3.853159
10000,2.449711,0.01035,816.437495,3.430519
11000,3.249842,0.008863,819.122869,2.226563
12000,4.187583,0.01079,825.302534,2.121075
13000,5.317683,0.013758,826.305275,2.12979
14000,6.632816,0.01295,827.404326,1.612031
15000,8.179907,0.022454,825.198954,2.258745
16000,9.900165,0.018065,827.463702,1.506277
17000,11.884965,0.021834,826.761663,1.514943
18000,14.057494,0.022733,829.737549,1.339652
19000,16.542355,0.029,829.267771,1.452527
20000,19.342482,0.035428,827.197565,1.514963
