matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.011288,0.000846,1423.244731,77.208013
3000,0.035795,0.001763,1511.833543,65.524674
4000,0.081903,0.002743,1564.399905,47.004095
5000,0.163711,0.003406,1527.714688,30.383748
6000,0.274654,0.004835,1573.362774,26.987768
7000,0.429682,0.005194,1596.761065,19.062595
8000,0.631444,0.005659,1621.809162,14.416408
9000,0.898857,0.00617,1622.135899,11.071516
10000,1.24211,0.006034,1610.201443,7.816753
11000,1.636165,0.007322,1627.007394,7.262255
12000,2.130952,0.005567,1621.821569,4.23609
13000,2.70198,0.007757,1626.228075,4.653414
14000,3.355366,0.010631,1635.60544,5.173985
15000,4.168749,0.008685,1619.197677,3.366492
16000,5.012089,0.011058,1634.456014,3.595937
17000,6.015791,0.013845,1633.376619,3.751158
18000,7.135161,0.013651,1634.727427,3.120571
19000,8.413411,0.018049,1630.499591,3.487873
20000,9.841475,0.017563,1625.77772,2.892822
