matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.021561,0.000377,742.282423,11.922863
3000,0.071911,0.001957,751.418579,18.050031
4000,0.166719,0.002696,767.951038,12.013325
5000,0.326086,0.006176,766.937129,14.105583
6000,0.543099,0.005326,795.511279,7.800692
7000,0.871407,0.007929,787.296982,7.10937
8000,1.274124,0.008928,803.728856,5.619033
9000,1.803073,0.015213,808.676379,6.763043
10000,2.502171,0.010675,799.320456,3.399776
11000,3.300238,0.016091,806.627743,3.923585
12000,4.374409,0.026302,790.078026,4.722673
13000,5.451521,0.021686,806.02635,3.199535
14000,6.848696,0.037329,801.344154,4.363733
15000,8.413136,0.043382,802.337994,4.117992
16000,10.164769,0.053517,805.943115,4.217133
17000,12.240999,0.068883,802.737517,4.483178
18000,14.447625,0.059044,807.34336,3.289133
19000,16.998583,0.084204,807.028122,3.970657
20000,19.854951,0.082803,805.85827,3.342892
