matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.011537,0.000458,1388.696182,45.749754
3000,0.036469,0.001425,1482.689586,50.90418
4000,0.082037,0.002015,1561.116393,34.771432
5000,0.162665,0.002634,1537.291301,23.878653
6000,0.277113,0.004007,1559.245956,21.936013
7000,0.431787,0.006249,1589.073493,22.608244
8000,0.632038,0.005774,1620.289737,14.773766
9000,0.89464,0.00845,1629.850054,15.266574
10000,1.25886,0.009056,1588.820462,11.404683
11000,1.654834,0.010496,1608.6852,10.166142
12000,2.139314,0.011184,1615.514795,8.415061
13000,2.697643,0.010323,1628.853319,6.22284
14000,3.362767,0.017638,1632.033814,8.512962
15000,4.1543,0.018046,1624.853168,7.035185
16000,5.02798,0.015869,1629.298591,5.128114
17000,6.089475,0.029997,1613.642756,7.925052
18000,7.141228,0.029805,1633.360824,6.787126
19000,8.39914,0.045791,1633.310813,8.859827
20000,9.805924,0.046753,1631.703556,7.729903
