num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,20.777614,0.121504,96.260665,0.551022,83.2
4,11.64216,0.037131,171.791162,0.543301,166.4
6,8.22947,0.016625,243.030006,0.490449,249.6
8,5.861464,0.032622,341.222204,1.892355,332.8
10,5.289848,0.013903,378.08533,0.990098,416
12,4.032095,0.011231,496.023946,1.381484,499.2
14,3.935562,0.011877,508.191215,1.531049,582.4
16,3.020786,0.01117,662.088432,2.444008,665.6
18,3.108446,0.027702,643.458529,5.631775,748.8
20,2.480666,0.036812,806.409069,11.728375,832
22,2.665954,0.043585,750.393079,11.782388,915.2
24,2.388027,0.037871,837.718264,13.037658,998.4
26,2.350124,0.065286,851.633117,22.138106,1081.6
28,1.919792,0.089153,1043.850092,44.688046,1164.8
30,1.877818,0.075545,1066.604576,38.331529,1248
32,1.776309,0.128396,1131.118545,72.154349,1331.2
34,1.961787,0.084954,1021.193034,39.631338,1414.4
36,1.648137,0.114462,1218.259504,69.077561,1497.6
38,1.797038,0.097777,1115.825273,53.104472,1580.8
40,1.535092,0.147856,1312.066746,96.812853,1664
42,1.490407,0.149864,1351.995866,101.251737,1747.2
44,1.471625,0.212155,1379.844637,146.734878,1830.4
46,1.6044,0.114967,1251.849826,73.965325,1913.6
48,1.378336,0.163382,1465.52637,123.981416,1996.8
50,1.380554,0.223167,1475.613559,170.215112,2080
52,1.355664,0.279357,1518.41237,214.64201,2163.2
54,1.30206,0.200472,1560.347958,161.099227,2246.4
56,1.299416,0.226327,1569.168345,176.614919,2329.6
58,1.385845,0.165275,1458.362992,128.7965,2412.8
60,1.226492,0.21314,1662.34152,185.964277,2496
62,1.352714,0.155077,1492.984628,127.562715,2579.2
64,1.232354,0.25227,1664.871163,210.608776,2662.4
66,1.20336,0.292024,1719.295499,243.723393,2745.6
68,1.687503,0.225203,1202.786496,139.426076,2828.8
70,1.175781,0.243122,1743.525619,210.37323,2912
72,1.654384,0.193821,1222.984176,125.720652,2995.2
74,1.292982,0.165417,1565.880927,150.459433,3078.4
76,1.628794,0.242751,1247.192711,133.071742,3161.6
78,1.555754,0.223438,1306.629397,151.987098,3244.8
80,1.449216,0.198655,1399.618937,147.494389,3328
82,1.282963,0.153719,1575.96196,144.000223,3411.2
84,1.309249,0.255509,1563.804286,190.206491,3494.4
86,1.270556,0.16695,1594.64787,157.949446,3577.6
88,1.189469,0.246929,1723.730833,207.706689,3660.8
90,1.121233,0.234106,1829.371205,224.108821,3744
92,1.497196,0.363654,1379.254349,182.885817,3827.2
94,1.222583,0.191097,1665.588535,193.646837,3910.4
96,1.236768,0.234992,1653.48175,196.563379,3993.6
98,1.291154,0.295107,1594.867385,204.756417,4076.8
100,1.163835,0.283235,1774.404463,234.764783,4160
102,1.330362,0.33649,1555.311022,209.917122,4243.2
104,1.143571,0.259883,1800.389488,231.349794,4326.4
106,1.230249,0.228944,1664.05107,208.099278,4409.6
108,1.220835,0.258572,1680.851771,203.897786,4492.8
110,1.212903,0.287367,1700.433133,220.837992,4576
112,1.366213,0.289497,1500.8573,176.852135,4659.2
114,1.382509,0.395789,1509.378189,226.739347,4742.4
116,1.519493,0.528755,1400.518949,258.853115,4825.6
118,1.304136,0.268839,1595.349683,304.637118,4908.8
120,1.170348,0.298466,1769.585837,242.552113,4992
122,1.298169,0.292552,1612.317588,324.823879,5075.2
124,1.780522,0.510993,1172.464701,179.909457,5158.4
126,1.117075,0.26177,1844.664457,234.899507,5241.6
128,1.332879,0.380292,1564.07996,230.440411,5324.8
