num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,10.21091,0.056947,195.874928,1.074806,166.4
4,5.344401,0.025745,374.232088,1.793697,332.8
6,3.679923,0.012816,543.496225,1.89108,499.2
8,2.698458,0.012827,741.180794,3.504376,665.6
10,2.386825,0.011354,837.952077,3.969546,832
12,1.898668,0.008564,1053.391115,4.730417,998.4
14,1.792145,0.009174,1116.010557,5.70694,1164.8
16,1.502999,0.008049,1330.711135,7.110332,1331.2
18,1.377878,0.014816,1451.672723,15.410445,1497.6
20,1.221613,0.031235,1638.21804,40.595182,1664
22,1.229555,0.025126,1627.260753,32.127245,1830.4
24,1.064411,0.035639,1880.934708,58.655939,1996.8
26,1.076057,0.039118,1860.905957,62.484319,2163.2
28,0.958995,0.057274,2092.088548,110.393066,2329.6
30,0.918915,0.059194,2184.318007,122.084742,2496
32,0.88545,0.079346,2273.476459,165.427429,2662.4
34,0.91486,0.061874,2195.065142,132.464289,2828.8
36,0.821296,0.08592,2456.104445,201.537902,2995.2
38,0.841115,0.068525,2391.290642,166.198947,3161.6
40,0.777349,0.110936,2611.484073,273.406146,3328
42,0.75444,0.112237,2693.380053,288.631067,3494.4
44,0.741025,0.148416,2769.234685,356.005562,3660.8
46,0.766047,0.077207,2632.718972,219.526176,3827.2
48,0.719423,0.121624,2833.839486,324.183341,3993.6
50,0.70201,0.156459,2939.185744,412.409525,4160
52,0.676256,0.152816,3045.11423,404.644821,4326.4
54,0.650114,0.123189,3141.823813,354.064516,4492.8
56,0.661533,0.159904,3129.948959,449.539457,4659.2
58,0.661538,0.108446,3083.334177,370.978532,4825.6
60,0.640844,0.152099,3230.752628,471.99856,4992
62,0.650763,0.10603,3135.857282,387.843219,5158.4
64,0.634337,0.180882,3305.221398,548.700564,5324.8
66,0.650977,0.205634,3253.662866,595.057634,5491.2
68,1.072491,0.138389,1892.824475,228.852973,5657.6
70,0.631493,0.16627,3301.409508,519.92661,5824
72,0.917695,0.127442,2213.421335,253.76474,5990.4
74,0.590856,0.109494,3468.383064,456.050343,6156.8
76,0.880972,0.168769,2316.593811,247.020316,6323.2
78,0.897166,0.134242,2265.715741,254.602683,6489.6
80,0.975135,0.12774,2080.42345,231.237715,6656
82,0.565833,0.11059,3634.980819,522.18908,6822.4
84,0.715154,0.154053,2866.587865,334.183254,6988.8
86,0.556908,0.118603,3707.918801,557.23018,7155.2
88,0.634491,0.146257,3243.663996,409.996872,7321.6
90,0.633355,0.141437,3259.550191,466.274007,7488
92,0.984001,0.199504,2083.964799,268.491608,7654.4
94,0.534098,0.103736,3850.852957,553.397351,7820.8
96,0.668736,0.169043,3107.82912,475.453928,7987.2
98,0.723427,0.177002,2847.999705,354.883943,8153.6
100,0.637504,0.220979,3342.880543,614.768958,8320
102,0.796326,0.266221,2667.111937,485.986163,8486.4
104,0.589321,0.191036,3604.042565,668.846643,8652.8
106,0.508975,0.124193,4093.883636,700.375356,8819.2
108,0.606818,0.154228,3422.492571,526.760712,8985.6
110,0.687476,0.210471,3071.356823,548.236428,9152
112,0.708287,0.205288,2961.23948,522.097919,9318.4
114,0.81003,0.311582,2684.293743,601.910055,9484.8
116,0.832711,0.302866,2541.09618,412.110756,9651.2
118,0.454282,0.122906,4601.79395,769.439174,9817.6
120,0.602833,0.16229,3450.728288,518.799509,9984
122,0.425412,0.100701,4880.962456,790.495402,10150.4
124,0.909283,0.311878,2316.964468,368.816034,10316.8
126,0.485937,0.123059,4291.052981,717.220057,10483.2
128,0.745716,0.265894,2859.477335,511.465656,10649.6
