num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,21.955844,0.06276,91.092661,0.259512,83.2
4,11.384643,0.042498,175.677695,0.655558,166.4
6,7.49186,0.034564,266.962064,1.228198,249.6
8,5.94244,0.031435,336.571502,1.777031,332.8
10,4.841127,0.026762,413.139581,2.283505,416
12,4.350573,0.025811,459.725729,2.730678,499.2
14,3.962334,0.014405,504.759676,1.829375,582.4
16,3.921967,0.009849,509.951419,1.277635,665.6
18,3.303446,0.079041,605.75005,13.449044,748.8
20,3.147823,0.108032,636.006412,18.855576,832
22,2.806446,0.140328,714.09792,29.104632,915.2
24,2.702176,0.173086,742.485619,36.635795,998.4
26,2.463187,0.186863,815.413898,45.708159,1081.6
28,2.40695,0.213056,835.545286,52.367993,1164.8
30,2.303342,0.328145,881.396495,92.032863,1248
32,2.227847,0.225866,904.047467,62.710913,1331.2
34,2.0084,0.229864,1004.390045,75.384915,1414.4
36,2.019816,0.256144,1000.421365,81.449242,1497.6
38,1.872045,0.247927,1080.122952,89.732816,1580.8
40,1.893495,0.274147,1069.903424,95.493812,1664
42,1.765642,0.254085,1146.872173,99.114063,1747.2
44,1.790436,0.296846,1135.43017,112.615037,1830.4
46,1.692892,0.265852,1199.001781,113.647326,1913.6
48,1.722643,0.307838,1182.471421,122.139567,1996.8
50,1.623508,0.276742,1253.432842,129.068505,2080
52,1.606393,0.342104,1275.599941,146.774017,2163.2
54,1.541274,0.30025,1325.150496,144.617957,2246.4
56,1.572941,0.361652,1307.604744,161.691022,2329.6
58,1.49033,0.304881,1372.35817,151.661582,2412.8
60,1.490877,0.263245,1367.253667,148.203622,2496
62,1.476067,0.3098,1387.555273,159.246604,2579.2
64,1.507256,0.358103,1366.785971,173.020984,2662.4
66,2.011282,0.148345,999.035345,63.841722,2745.6
68,2.377335,0.192371,845.727659,55.96583,2828.8
70,2.029209,0.171062,992.391557,83.348012,2912
72,2.200923,0.210378,914.665545,63.039768,2995.2
74,1.89448,0.249477,1068.339603,99.714958,3078.4
76,2.066927,0.166984,972.813724,65.358414,3161.6
78,1.862263,0.2694,1088.971344,108.626967,3244.8
80,1.885586,0.305308,1076.539868,99.029119,3328
82,1.565908,0.30488,1303.152326,135.90511,3411.2
84,1.701099,0.325008,1198.453281,120.462018,3494.4
86,1.563131,0.310934,1307.156931,143.46981,3577.6
88,1.669631,0.336349,1222.597919,123.745363,3660.8
90,1.491953,0.325392,1372.13916,146.751993,3744
92,1.649684,0.349146,1239.654729,130.669072,3827.2
94,1.558805,0.320824,1311.387281,140.938936,3910.4
96,1.57807,0.373009,1301.509702,147.13524,3993.6
98,1.523808,0.347814,1347.395999,158.145536,4076.8
100,1.673728,0.361392,1223.242726,133.734231,4160
102,1.367772,0.384954,1518.908625,209.290447,4243.2
104,1.577695,0.396684,1308.121049,168.240677,4326.4
106,1.523496,0.363682,1348.662075,153.008776,4409.6
108,1.557529,0.400593,1325.319478,165.94468,4492.8
110,1.474866,0.367395,1395.992526,163.456263,4576
112,1.549447,0.412759,1336.249228,179.670838,4659.2
114,1.405126,0.408761,1480.054112,204.136207,4742.4
116,1.68181,0.38305,1220.360319,140.929524,4825.6
118,1.518032,0.393536,1359.319024,164.835792,4908.8
120,1.580929,0.407467,1305.596871,161.915173,4992
122,1.53441,0.422182,1354.499263,194.833888,5075.2
124,1.624313,0.415619,1271.294056,162.4087,5158.4
126,1.54416,0.398582,1338.049693,172.96229,5241.6
128,1.762527,0.317675,1154.866888,113.122391,5324.8
