num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,16.059857,0.068041,124.536312,0.519991,166.4
4,10.817485,0.038761,184.888203,0.655063,332.8
6,5.636108,0.01361,354.856895,0.855865,499.2
8,4.334986,0.011152,461.365536,1.184616,665.6
10,3.903675,0.007576,512.339623,0.992901,832
12,3.117806,0.00576,641.479016,1.184292,998.4
14,2.676542,0.006781,747.237514,1.890989,1164.8
16,2.597147,0.005784,770.079527,1.713212,1331.2
18,2.152251,0.019391,929.333404,8.16602,1497.6
20,2.011363,0.020298,994.447875,9.620024,1664
22,1.943655,0.012594,1029.032022,6.569914,1830.4
24,1.722934,0.028371,1161.107266,18.036374,1996.8
26,1.599534,0.044962,1251.24725,31.449115,2163.2
28,1.520904,0.037721,1315.745083,29.780773,2329.6
30,1.444257,0.051993,1386.347336,43.195471,2496
32,1.362682,0.065135,1470.404471,56.742943,2662.4
34,1.313568,0.065416,1525.642433,61.775952,2828.8
36,1.2637,0.064264,1585.97638,65.431418,2995.2
38,1.189763,0.091195,1688.588658,99.355852,3161.6
40,1.11023,0.087357,1809.747084,106.074796,3328
42,1.047988,0.097174,1920.264035,128.29558,3494.4
44,1.020726,0.106969,1974.171157,141.862153,3660.8
46,1.016382,0.097612,1980.677732,135.046137,3827.2
48,0.963361,0.109658,2094.351372,161.556698,3993.6
50,0.954554,0.097796,2109.716933,141.602581,4160
52,0.941881,0.131447,2147.672396,173.89689,4326.4
54,0.89296,0.127365,2268.528947,203.626931,4492.8
56,0.874642,0.127108,2314.686828,193.310262,4659.2
58,0.853309,0.151538,2384.508889,231.585925,4825.6
60,0.826721,0.154298,2463.558718,239.083969,4992
62,0.882069,0.17183,2314.953941,247.563349,5158.4
64,0.807332,0.154381,2524.393315,247.801644,5324.8
66,0.858514,0.162157,2377.153741,255.705306,5491.2
68,0.869273,0.161523,2345.969056,247.366491,5657.6
70,0.85823,0.143921,2370.513526,241.663312,5824
72,0.836526,0.145583,2435.986988,261.839485,5990.4
74,0.861891,0.191239,2383.410937,290.892554,6156.8
76,0.790387,0.164383,2596.096519,319.552127,6323.2
78,0.758972,0.142312,2689.581746,294.672386,6489.6
80,0.753983,0.167588,2730.341392,354.868375,6656
82,0.754614,0.16553,2726.086922,349.39309,6822.4
84,0.726385,0.178505,2846.943269,384.922155,6988.8
86,0.717043,0.171563,2877.083556,375.060517,7155.2
88,0.68714,0.200172,3043.312336,463.991684,7321.6
90,0.685156,0.192719,3045.726016,457.816315,7488
92,0.657339,0.187805,3165.779608,438.227702,7654.4
94,0.737711,0.245303,2858.279715,447.998549,7820.8
96,0.64508,0.204371,3260.036033,510.253675,7987.2
98,0.626898,0.209567,3375.508547,565.182985,8153.6
100,0.621351,0.192074,3371.125555,501.045886,8320
102,0.62675,0.214265,3388.032779,588.31477,8486.4
104,0.619983,0.221117,3428.808476,577.690959,8652.8
106,0.613526,0.220232,3478.000896,622.972918,8819.2
108,0.593597,0.210921,3585.242179,617.361566,8985.6
110,0.605174,0.213634,3519.806045,623.208333,9152
112,0.586328,0.216634,3656.649715,682.418906,9318.4
114,0.57142,0.251387,3818.516302,752.388009,9484.8
116,0.603138,0.233413,3553.411234,625.833069,9651.2
118,0.573586,0.221059,3741.295362,673.19907,9817.6
120,0.538973,0.220167,4021.795671,777.170784,9984
122,0.5482,0.228327,3971.909981,806.826239,10150.4
124,0.674233,0.232013,3156.111585,582.925595,10316.8
126,0.535173,0.222514,4084.318705,863.804237,10483.2
128,0.503416,0.2256,4376.290237,923.388835,10649.6
