num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,20.930109,0.094944,95.558065,0.428467,83.2
4,10.519747,0.046228,190.12229,0.829777,166.4
6,7.157108,0.024477,279.445735,0.94957,249.6
8,5.408241,0.027244,369.815357,1.861173,332.8
10,4.336005,0.010529,461.256782,1.120328,416
12,3.662604,0.008137,546.062326,1.210903,499.2
14,3.305798,0.009434,605.00248,1.720352,582.4
16,2.875583,0.014231,695.528035,3.430453,665.6
18,2.743843,0.009845,728.913928,2.588392,748.8
20,2.3982,0.010512,833.974523,3.620482,832
22,2.303084,0.014998,868.436765,5.52353,915.2
24,2.085112,0.024119,959.303678,10.584434,998.4
26,1.939434,0.059617,1032.076809,27.607963,1081.6
28,1.915623,0.044198,1044.551767,21.888019,1164.8
30,1.915685,0.054805,1044.767076,26.378334,1248
32,1.759845,0.078105,1138.310947,41.654988,1331.2
34,1.74111,0.088975,1151.155787,48.29372,1414.4
36,1.712694,0.086046,1170.124148,47.281598,1497.6
38,1.657944,0.098681,1209.626897,55.741857,1580.8
40,1.594688,0.105501,1258.391662,64.073138,1664
42,1.660401,0.09613,1207.703148,54.931383,1747.2
44,1.557293,0.114811,1289.42966,69.988027,1830.4
46,1.505103,0.120787,1335.065955,78.165816,1913.6
48,1.41967,0.14874,1419.151532,99.427433,1996.8
50,1.40943,0.146848,1429.540104,101.551127,2080
52,1.357842,0.154436,1485.870154,114.663652,2163.2
54,1.434897,0.163723,1405.504317,102.670782,2246.4
56,1.408974,0.154043,1430.809998,104.227565,2329.6
58,1.449665,0.155864,1390.341568,100.10197,2412.8
60,1.405219,0.190651,1439.274293,118.648533,2496
62,1.361593,0.194034,1486.688821,125.782946,2579.2
64,1.416657,0.206168,1430.525879,129.97628,2662.4
66,1.422271,0.206187,1424.690443,128.622107,2745.6
68,1.381469,0.215742,1468.554417,134.607149,2828.8
70,1.422015,0.197327,1423.007591,120.079321,2912
72,1.392828,0.192621,1453.087441,125.029,2995.2
74,1.364276,0.194223,1484.528553,131.399133,3078.4
76,1.362155,0.216684,1490.774973,142.860409,3161.6
78,1.295472,0.227706,1570.207444,151.403158,3244.8
80,1.351586,0.211894,1502.006981,143.410946,3328
82,1.319006,0.246257,1545.465284,158.383582,3411.2
84,1.294019,0.249722,1577.089462,165.517475,3494.4
86,1.291449,0.273103,1585.954655,179.626137,3577.6
88,1.225339,0.268811,1673.875478,193.0374,3660.8
90,1.26335,0.280176,1624.416202,189.614444,3744
92,1.285176,0.274636,1592.385327,171.866687,3827.2
94,1.245195,0.295598,1653.203839,204.185465,3910.4
96,1.195315,0.275834,1719.564951,205.21174,3993.6
98,1.283949,0.286923,1599.487525,194.852391,4076.8
100,1.17105,0.310332,1766.976655,230.09484,4160
102,1.160831,0.32574,1786.479131,231.570115,4243.2
104,1.142447,0.327605,1819.430016,246.394924,4326.4
106,1.229732,0.323237,1680.934993,212.591104,4409.6
108,1.26182,0.3221,1633.95434,195.812285,4492.8
110,1.233795,0.329329,1675.520731,208.43728,4576
112,1.217128,0.311629,1696.287685,212.820548,4659.2
114,1.226854,0.338537,1687.02003,210.933904,4742.4
116,1.19715,0.323528,1731.164633,231.283972,4825.6
118,1.223004,0.375151,1701.305314,221.358489,4908.8
120,1.222765,0.335212,1694.678141,220.897579,4992
122,1.184952,0.389627,1761.883691,231.352032,5075.2
124,1.199722,0.347431,1730.522687,225.438922,5158.4
126,1.206919,0.34857,1720.406722,226.310313,5241.6
128,1.213059,0.39032,1718.339275,221.807059,5324.8
