num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,10.160204,0.062759,196.853855,1.199308,166.4
4,5.164973,0.018036,387.228442,1.346459,332.8
6,3.486851,0.010127,573.588345,1.659945,499.2
8,2.65869,0.010729,752.262393,3.022779,665.6
10,2.116628,0.006656,944.908677,2.964989,832
12,1.792828,0.006389,1115.570284,3.959708,998.4
14,1.590643,0.00832,1257.387141,6.533196,1164.8
16,1.372002,0.004894,1457.742678,5.179646,1331.2
18,1.25317,0.006505,1595.995733,8.234676,1497.6
20,1.186212,0.012382,1686.218785,17.194736,1664
22,1.196579,0.020714,1671.907052,27.510406,1830.4
24,1.032813,0.042964,1939.338841,69.352724,1996.8
26,0.97122,0.048689,2063.536924,85.360222,2163.2
28,0.981122,0.053913,2043.509075,91.683625,2329.6
30,0.955804,0.063872,2099.93718,112.046453,2496
32,0.843018,0.016241,2373.262031,43.312699,2662.4
34,0.850169,0.023155,2354.09074,59.424022,2828.8
36,0.826137,0.03193,2424.068749,81.919235,2995.2
38,0.788192,0.036729,2542.062028,99.080113,3161.6
40,0.780901,0.050918,2570.10592,138.117108,3328
42,0.794484,0.043097,2523.517775,113.899261,3494.4
44,0.744711,0.059696,2698.435022,160.84556,3660.8
46,0.724243,0.051488,2772.449157,154.596964,3827.2
48,0.676212,0.067054,2979.131581,218.213541,3993.6
50,0.666401,0.081717,3031.101799,246.111152,4160
52,0.648935,0.090337,3122.204829,292.332989,4326.4
54,0.67167,0.101362,3019.739432,282.495512,4492.8
56,0.690693,0.098954,2932.424349,259.161064,4659.2
58,0.678238,0.09008,2982.364308,254.979725,4825.6
60,0.676159,0.10426,2999.216995,270.480581,4992
62,0.673,0.091578,3007.38139,264.768944,5158.4
64,0.649533,0.10502,3126.326971,295.671985,5324.8
66,0.718199,0.112602,2829.456158,287.747628,5491.2
68,0.672832,0.111952,3021.26923,298.187785,5657.6
70,0.672775,0.109778,3019.784026,292.290464,5824
72,0.692141,0.121229,2945.790659,322.631937,5990.4
74,0.65783,0.125437,3099.632567,315.555955,6156.8
76,0.683958,0.108753,2972.620218,307.822828,6323.2
78,0.688294,0.123684,2965.767051,340.638377,6489.6
80,0.646929,0.119617,3153.780692,342.631305,6656
82,0.650722,0.131991,3144.170726,357.733984,6822.4
84,0.633895,0.128212,3225.289644,352.392162,6988.8
86,0.633779,0.146208,3256.487639,448.650438,7155.2
88,0.612884,0.187699,3386.956245,406.597663,7321.6
90,0.619234,0.185233,3351.256931,414.170247,7488
92,0.620436,0.160551,3340.480765,459.487071,7654.4
94,0.596385,0.15523,3472.877652,481.33279,7820.8
96,0.596982,0.147221,3449.246368,413.384292,7987.2
98,0.629563,0.250925,3360.862442,479.763278,8153.6
100,0.563297,0.212638,3743.037617,531.139999,8320
102,0.573587,0.185223,3637.658216,484.126948,8486.4
104,0.568484,0.280611,3792.983758,584.597815,8652.8
106,0.625632,0.269738,3460.220546,624.920815,8819.2
108,0.599355,0.226989,3568.261764,622.893846,8985.6
110,0.613033,0.278608,3563.307969,681.126986,9152
112,0.570234,0.215286,3746.218325,655.120306,9318.4
114,0.602479,0.278299,3653.642506,754.254769,9484.8
116,0.605052,0.217538,3518.540277,613.143084,9651.2
118,0.587465,0.20329,3574.722731,517.862166,9817.6
120,0.579165,0.204483,3649.05944,591.415833,9984
122,0.58165,0.279389,3707.89355,592.837261,10150.4
124,0.606662,0.290459,3630.203078,713.479201,10316.8
126,0.605171,0.243016,3562.618147,666.951981,10483.2
128,0.595033,0.202399,3532.806622,534.611812,10649.6
