num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,21.719836,0.47316,92.125079,1.990461,83.2
4,10.887764,0.199217,183.751898,3.251135,166.4
6,7.348547,0.16424,272.290075,5.706507,249.6
8,5.536994,0.175193,361.542309,10.61987,332.8
10,4.425577,0.110194,452.183411,10.646326,416
12,3.643138,0.097631,549.352025,13.995519,499.2
14,3.184515,0.087024,628.473965,15.922305,582.4
16,2.755244,0.103471,726.845787,25.532843,665.6
18,2.474016,0.085453,809.30796,26.237337,748.8
20,2.238265,0.106386,895.453544,40.116562,832
22,2.120855,0.088257,944.591994,37.92796,915.2
24,1.872043,0.116325,1071.902027,57.351833,998.4
26,1.870032,0.133271,1074.54571,71.036199,1081.6
28,1.660933,0.191243,1216.388547,107.696875,1164.8
30,1.54862,0.170692,1303.010694,106.123979,1248
32,1.505167,0.247879,1354.094174,157.836665,1331.2
34,1.655338,0.171549,1220.736052,121.684661,1414.4
36,1.335443,0.226001,1525.473079,168.405988,1497.6
38,1.618417,0.143034,1243.518242,88.111084,1580.8
40,1.23089,0.221386,1657.961951,188.978267,1664
42,1.198751,0.250275,1711.635298,212.512505,1747.2
44,1.245017,0.315984,1671.129462,267.245481,1830.4
46,1.375954,0.165513,1470.533961,143.337042,1913.6
48,1.136459,0.222475,1798.656306,201.967995,1996.8
50,1.180048,0.294417,1752.878991,240.355487,2080
52,1.236389,0.355099,1694.577062,285.218245,2163.2
54,1.093173,0.245821,1880.595722,232.526263,2246.4
56,1.084784,0.273706,1905.2256,250.344945,2329.6
58,1.281027,0.185291,1584.989488,167.684943,2412.8
60,1.028731,0.25592,2008.096438,264.115986,2496
62,1.24782,0.200247,1633.771999,197.927658,2579.2
64,1.086774,0.284216,1904.48669,251.114885,2662.4
66,1.164583,0.312728,1785.282084,264.88501,2745.6
68,1.356751,0.387167,1535.857919,226.662537,2828.8
70,1.084833,0.273878,1904.634589,247.611097,2912
72,1.23041,0.322405,1683.853794,228.451681,2995.2
74,1.233673,0.199474,1656.365325,223.17956,3078.4
76,1.397773,0.422531,1498.303184,235.802638,3161.6
78,1.251068,0.343434,1662.131688,240.933782,3244.8
80,1.23017,0.287595,1675.045221,216.421437,3328
82,1.29105,0.192498,1575.002104,176.240713,3411.2
84,1.284265,0.318128,1609.246271,214.672028,3494.4
86,1.664137,0.141104,1210.464888,102.652554,3577.6
88,1.196773,0.270457,1718.557505,213.973145,3660.8
90,1.181574,0.250657,1736.279553,209.349777,3744
92,1.674474,0.442044,1242.99248,194.591703,3827.2
94,1.390143,0.19544,1460.735687,159.766662,3910.4
96,1.266572,0.259792,1618.533941,196.298011,3993.6
98,1.39495,0.333801,1481.38385,207.080806,4076.8
100,1.304193,0.271371,1571.624205,186.048988,4160
102,1.46406,0.363287,1410.807623,184.569837,4243.2
104,1.214862,0.258373,1689.056736,204.396591,4326.4
106,1.281099,0.209422,1596.715018,222.912494,4409.6
108,1.238432,0.270486,1658.793112,203.624923,4492.8
110,1.280554,0.295432,1607.064571,199.679958,4576
112,1.338537,0.326587,1543.407458,206.721755,4659.2
114,1.422152,0.404033,1464.449154,211.164399,4742.4
116,1.562706,0.539087,1351.622238,217.46329,4825.6
118,1.258468,0.213149,1624.556847,212.298056,4908.8
120,1.27335,0.27891,1613.091954,196.445747,4992
122,1.248925,0.197492,1630.105124,184.930845,5075.2
124,1.83674,0.523849,1138.046283,183.20135,5158.4
126,1.160523,0.244657,1767.099266,209.968455,5241.6
128,1.384359,0.366882,1498.333236,208.400188,5324.8
