num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,10.405149,0.164623,192.258899,2.932226,166.4
4,5.322845,0.083434,375.827295,5.639442,332.8
6,3.57765,0.083896,559.318318,12.468642,499.2
8,2.715385,0.071425,737.032779,18.605794,665.6
10,2.151843,0.059903,930.105789,24.087705,832
12,1.790784,0.057441,1117.892559,33.191221,998.4
14,1.554372,0.0495,1287.934445,39.008938,1164.8
16,1.36689,0.064022,1466.175479,64.133172,1331.2
18,1.21355,0.058335,1651.594788,73.673135,1497.6
20,1.119333,0.077213,1794.608345,113.817129,1664
22,1.029997,0.054546,1946.57993,91.371973,1830.4
24,0.932492,0.071369,2155.532876,140.954713,1996.8
26,0.900847,0.054226,2227.684775,125.811856,2163.2
28,0.832732,0.108657,2430.238887,222.944437,2329.6
30,0.761907,0.0715,2644.464341,209.046242,2496
32,0.757705,0.130796,2698.101833,345.750478,2662.4
34,0.708762,0.063529,2841.658025,222.665991,2828.8
36,0.657775,0.096166,3090.808032,347.268894,2995.2
38,0.680311,0.058545,2959.84692,233.044122,3161.6
40,0.628524,0.162913,3318.443805,539.630858,3328
42,0.587567,0.114655,3488.475366,443.688979,3494.4
44,0.608951,0.155263,3395.369322,452.430446,3660.8
46,0.621633,0.075454,3260.591139,359.344559,3827.2
48,0.558935,0.102677,3652.503802,410.988961,3993.6
50,0.602354,0.202045,3516.357003,601.722082,4160
52,0.66401,0.25654,3240.614361,624.562986,4326.4
54,0.553412,0.145402,3757.878603,557.457175,4492.8
56,0.552483,0.180784,3827.02879,645.335402,4659.2
58,0.563127,0.063697,3590.166402,342.374071,4825.6
60,0.491755,0.114932,4194.35117,553.601203,4992
62,0.532061,0.092015,3843.297606,503.020362,5158.4
64,0.530082,0.171951,4016.937921,787.368925,5324.8
66,0.527851,0.188247,4025.849763,730.599734,5491.2
68,0.727225,0.296894,2963.161806,551.341642,5657.6
70,0.561746,0.141722,3701.696367,570.784618,5824
72,0.644079,0.235302,3342.903232,687.618837,5990.4
74,0.540085,0.115202,3826.285908,615.000987,6156.8
76,0.730417,0.226054,2856.211519,400.956301,6323.2
78,0.682297,0.241695,3153.110604,670.828323,6489.6
80,0.584776,0.155147,3542.376252,476.802309,6656
82,0.55157,0.09222,3716.190959,550.145509,6822.4
84,0.611113,0.163306,3388.688146,450.888905,6988.8
86,0.566557,0.095233,3605.982398,461.335705,7155.2
88,0.567739,0.137106,3641.402534,510.214232,7321.6
90,0.54352,0.117847,3790.444649,525.512643,7488
92,0.826614,0.307746,2554.035526,380.122407,7654.4
94,0.734886,0.170513,2802.411298,370.49006,7820.8
96,0.608804,0.144941,3388.350008,449.945036,7987.2
98,0.713194,0.248726,2969.705593,499.265185,8153.6
100,0.628029,0.168506,3293.795774,419.818867,8320
102,0.725296,0.302136,2977.285096,540.396338,8486.4
104,0.563399,0.147844,3678.987497,508.378231,8652.8
106,0.555788,0.123083,3732.044697,625.658928,8819.2
108,0.604143,0.15404,3418.37464,433.73137,8985.6
110,0.665914,0.212437,3169.809618,531.916217,9152
112,0.712843,0.263013,3002.767707,554.145406,9318.4
114,0.731947,0.317875,2965.432422,550.423153,9484.8
116,0.909754,0.291609,2291.884797,301.065385,9651.2
118,0.532729,0.099065,3853.753464,545.401495,9817.6
120,0.587725,0.218623,3663.733438,722.457306,9984
122,0.468038,0.221744,4644.1431,877.912871,10150.4
124,1.001008,0.385407,2135.270081,366.3293,10316.8
126,0.47587,0.156152,4521.316757,1000.129771,10483.2
128,0.806485,0.202027,2566.327319,367.137339,10649.6
