num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,22.129902,0.231307,90.385033,0.916256,83.2
4,11.756717,0.121917,170.133457,1.730121,166.4
6,7.738016,0.041144,258.471428,1.361704,249.6
8,5.939031,0.035358,336.76705,1.976794,332.8
10,4.668104,0.027213,428.453933,2.487201,416
12,3.926181,0.036227,509.443263,4.596673,499.2
14,3.30223,0.027949,605.694184,5.058863,582.4
16,2.988295,0.09032,669.826919,18.174448,665.6
18,2.585044,0.111214,774.8882,28.097866,748.8
20,2.419384,0.219423,831.4057,52.510508,832
22,2.192246,0.204065,917.839141,59.689531,915.2
24,2.049407,0.255672,985.400681,76.55228,998.4
26,1.911636,0.278365,1059.259937,89.986735,1081.6
28,1.775974,0.315365,1145.736278,111.507146,1164.8
30,1.752087,0.287957,1159.15007,108.617443,1248
32,1.616721,0.33125,1263.87408,132.602289,1331.2
34,1.649652,0.292696,1233.023445,117.203898,1414.4
36,1.542624,0.418573,1338.14799,155.093409,1497.6
38,1.55504,0.343282,1316.614011,139.164982,1580.8
40,1.464876,0.395936,1408.645844,161.509296,1664
42,1.45227,0.350798,1414.8799,158.128814,1747.2
44,1.371035,0.393879,1510.615463,183.912855,1830.4
46,1.410479,0.383874,1464.971902,176.094332,1913.6
48,1.341926,0.405291,1547.951852,194.710789,1996.8
50,1.378881,0.376289,1499.91577,185.936105,2080
52,1.299487,0.400615,1600.950077,206.096425,2163.2
54,1.388862,0.417831,1495.386156,188.395541,2246.4
56,1.258144,0.402715,1657.576761,218.580205,2329.6
58,1.321865,0.407034,1577.377604,218.248177,2412.8
60,1.231611,0.40701,1696.500658,226.816217,2496
62,1.323712,0.406677,1574.308968,216.209574,2579.2
64,1.213294,0.414193,1726.421659,236.765031,2662.4
66,1.224881,0.479303,1744.234142,310.58839,2745.6
68,1.156719,0.424686,1823.601541,270.125664,2828.8
70,1.249597,0.450025,1693.129993,274.458718,2912
72,1.193415,0.432626,1764.844692,257.036625,2995.2
74,1.24902,0.458254,1696.526084,277.635704,3078.4
76,1.1941,0.444497,1767.17904,259.97682,3161.6
78,1.368244,0.4211,1525.678097,219.889984,3244.8
80,1.194403,0.454867,1772.590527,274.207938,3328
82,1.251633,0.446453,1690.515123,278.025756,3411.2
84,1.248474,0.441907,1685.558362,249.681055,3494.4
86,1.424466,0.41449,1457.457939,190.320404,3577.6
88,1.331678,0.424071,1569.502623,223.896679,3660.8
90,1.327483,0.432289,1578.501849,232.406357,3744
92,1.315871,0.445985,1606.362984,281.893665,3827.2
94,1.526216,0.386318,1350.826781,164.287737,3910.4
96,1.321928,0.452492,1592.192773,245.629809,3993.6
98,1.587021,0.373512,1294.980986,151.526221,4076.8
100,1.316437,0.448125,1596.988665,241.714521,4160
102,1.319423,0.444329,1597.198826,258.34019,4243.2
104,1.356775,0.445879,1542.030115,215.577564,4326.4
106,1.619477,0.373193,1268.17945,148.498695,4409.6
108,1.410552,0.424549,1475.540457,198.936529,4492.8
110,1.426873,0.397606,1453.093927,190.586222,4576
112,1.422451,0.425164,1463.805835,202.15765,4659.2
114,1.276384,0.443406,1653.961631,265.872232,4742.4
116,1.485127,0.423155,1396.192126,179.178447,4825.6
118,1.533987,0.393783,1344.339574,162.820281,4908.8
120,1.500496,0.428306,1382.993259,182.594327,4992
122,1.336579,0.446335,1568.974061,228.845756,5075.2
124,1.621281,0.409125,1270.669942,150.42374,5158.4
126,1.385956,0.440891,1510.171654,221.264305,5241.6
128,1.499905,0.446457,1387.63136,189.683957,5324.8
