num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,17.352754,0.115895,115.26054,0.757795,166.4
4,13.818865,0.057056,144.732151,0.597483,332.8
6,7.12458,0.043596,280.729014,1.750358,499.2
8,5.290932,0.045971,378.033992,3.31375,665.6
10,4.670835,0.04699,428.233388,4.421529,832
12,3.61055,0.0404,554.004675,6.474569,998.4
14,3.085916,0.021251,648.136644,4.4686,1164.8
16,2.87824,0.027214,694.933528,6.826253,1331.2
18,2.480813,0.020988,806.244337,6.737096,1497.6
20,2.16954,0.02193,921.944557,8.936449,1664
22,2.053482,0.047528,974.422458,20.180239,1830.4
24,1.78022,0.047526,1124.166078,26.592306,1996.8
26,1.643245,0.049755,1218.102982,33.018756,2163.2
28,1.464967,0.075846,1368.185722,57.414383,2329.6
30,1.324996,0.066246,1512.533517,62.017339,2496
32,1.252981,0.069071,1600.016469,69.417564,2662.4
34,1.264347,0.115246,1591.154901,102.593403,2828.8
36,1.157257,0.09017,1736.298049,103.982515,2995.2
38,1.173353,0.212165,1735.354028,172.783221,3161.6
40,1.072599,0.085016,1873.546894,112.851839,3328
42,1.005794,0.079511,1998.180951,122.977871,3494.4
44,0.969353,0.121133,2085.071457,175.778375,3660.8
46,0.954953,0.113326,2114.933559,174.185904,3827.2
48,0.929089,0.116638,2175.910253,186.070023,3993.6
50,0.89472,0.111065,2259.528793,195.580099,4160
52,0.855794,0.163004,2385.775163,259.404502,4326.4
54,0.820857,0.139727,2480.511327,260.480598,4492.8
56,0.80097,0.138099,2543.425312,271.807571,4659.2
58,0.834137,0.206727,2468.282535,290.830704,4825.6
60,0.751651,0.162952,2732.151536,334.214053,4992
62,0.889081,0.271503,2337.995363,295.487384,5158.4
64,0.724983,0.16081,2840.017566,372.881935,5324.8
66,0.685792,0.169378,3022.396053,437.036855,5491.2
68,0.682957,0.211168,3065.54778,457.349642,5657.6
70,0.666345,0.185332,3135.645992,490.471806,5824
72,0.67923,0.182564,3069.105919,470.391673,5990.4
74,0.833198,0.309075,2549.34434,423.656914,6156.8
76,0.660203,0.196741,3171.642557,488.806897,6323.2
78,0.651508,0.190443,3221.02825,526.690844,6489.6
80,0.642124,0.190126,3272.218491,542.044926,6656
82,0.640138,0.181975,3271.974353,526.717437,6822.4
84,0.618415,0.195068,3411.273357,571.612307,6988.8
86,0.62171,0.212624,3424.113135,621.206578,7155.2
88,0.605936,0.199738,3499.89192,618.250215,7321.6
90,0.605957,0.202005,3500.452785,614.091205,7488
92,0.596645,0.206037,3559.515155,611.498014,7654.4
94,0.634147,0.241223,3342.558722,519.23494,7820.8
96,0.588066,0.201778,3609.695222,619.08299,7987.2
98,0.596255,0.221315,3584.027665,636.124919,8153.6
100,0.593263,0.225026,3618.765159,671.747111,8320
102,0.585797,0.233502,3679.714493,689.257662,8486.4
104,0.570725,0.227735,3770.225763,679.107499,8652.8
106,0.559581,0.230108,3867.858618,735.192644,8819.2
108,0.560442,0.228907,3852.242927,711.248146,8985.6
110,0.548376,0.239146,3982.031958,794.431226,9152
112,0.5617,0.236872,3867.005652,753.755631,9318.4
114,0.564021,0.246031,3874.626406,781.359117,9484.8
116,0.554262,0.248032,3933.677618,751.545654,9651.2
118,0.53887,0.226529,4034.246829,785.135729,9817.6
120,0.520458,0.230743,4209.891387,850.383011,9984
122,0.522654,0.230479,4197.194938,869.042296,10150.4
124,0.579002,0.266537,3777.751223,723.320408,10316.8
126,0.530851,0.226723,4126.703401,871.928253,10483.2
128,0.501545,0.229603,4401.201931,929.79932,10649.6
