num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,21.200503,0.262855,94.351243,1.118085,83.2
4,10.75456,0.103678,185.984496,1.750051,166.4
6,7.311774,0.078715,273.562367,2.874251,249.6
8,5.47893,0.048621,365.062912,3.173185,332.8
10,4.377925,0.036271,456.868058,3.700981,416
12,3.666065,0.034347,545.590647,4.976601,499.2
14,3.260135,0.037349,613.549095,6.778966,582.4
16,2.830593,0.040337,706.70354,9.669771,665.6
18,2.718907,0.043477,735.769626,11.254222,748.8
20,2.344086,0.038801,853.428672,13.158606,832
22,2.187191,0.062774,915.075401,23.019815,915.2
24,1.975103,0.108659,1015.012045,43.774936,998.4
26,1.81323,0.144212,1107.999029,62.872723,1081.6
28,1.786591,0.156543,1125.465933,68.797177,1164.8
30,1.758002,0.17181,1144.969804,74.965099,1248
32,1.612779,0.195323,1251.481455,94.241436,1331.2
34,1.538522,0.197955,1313.150477,102.920586,1414.4
36,1.550355,0.216373,1305.759324,113.830852,1497.6
38,1.512542,0.213462,1337.954336,111.59503,1580.8
40,1.463167,0.226778,1385.975054,124.193277,1664
42,1.469429,0.223137,1379.344175,121.177772,1747.2
44,1.493687,0.221001,1356.7457,121.953448,1830.4
46,1.454917,0.231596,1395.305144,132.223191,1913.6
48,1.33604,0.24792,1525.412323,156.336737,1996.8
50,1.314761,0.281202,1555.596438,162.161018,2080
52,1.291943,0.271265,1582.731326,167.058136,2163.2
54,1.344069,0.267819,1519.687064,161.045172,2246.4
56,1.340138,0.267739,1523.703073,159.122399,2329.6
58,1.305788,0.292934,1568.751097,166.678804,2412.8
60,1.311993,0.280905,1558.659994,160.96736,2496
62,1.223792,0.286058,1677.188072,186.04858,2579.2
64,1.292195,0.298253,1586.973667,171.401679,2662.4
66,1.233695,0.305345,1667.110202,187.954697,2745.6
68,1.233483,0.297739,1665.977419,187.1973,2828.8
70,1.266246,0.314937,1626.104084,191.096265,2912
72,1.25655,0.310731,1638.160913,191.699852,2995.2
74,1.244093,0.319916,1657.727295,199.381917,3078.4
76,1.271527,0.317538,1619.442548,189.70175,3161.6
78,1.250882,0.326659,1648.950336,195.092688,3244.8
80,1.335097,0.308021,1535.990461,166.043099,3328
82,1.283137,0.284586,1597.765667,179.288216,3411.2
84,1.323518,0.316107,1552.701777,177.079091,3494.4
86,1.319084,0.339702,1561.818942,179.546911,3577.6
88,1.281506,0.321356,1607.99469,192.611557,3660.8
90,1.364597,0.311054,1501.858859,159.95529,3744
92,1.349547,0.344696,1525.795895,174.035533,3827.2
94,1.269012,0.316024,1622.413854,189.86668,3910.4
96,1.282685,0.321666,1605.855943,189.771048,3993.6
98,1.282492,0.310357,1604.838463,191.264881,4076.8
100,1.281511,0.355975,1613.243163,192.21041,4160
102,1.248957,0.350796,1656.18143,198.704127,4243.2
104,1.248706,0.331202,1655.918287,209.893746,4326.4
106,1.347036,0.350145,1529.608478,174.40387,4409.6
108,1.38015,0.303875,1483.924941,160.03832,4492.8
110,1.340303,0.337614,1535.611166,174.500038,4576
112,1.29353,0.368608,1600.454195,194.580674,4659.2
114,1.307031,0.363105,1582.03272,189.967469,4742.4
116,1.302556,0.344422,1584.477415,189.467709,4825.6
118,1.314284,0.337108,1567.39513,180.864762,4908.8
120,1.273793,0.321606,1618.183786,194.631776,4992
122,1.249429,0.361809,1658.585698,204.120407,5075.2
124,1.24151,0.385759,1675.073922,210.708957,5158.4
126,1.242764,0.347246,1665.913903,207.832795,5241.6
128,1.234466,0.353769,1680.040191,215.792896,5324.8
