num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
2,10.331087,0.124558,193.617639,2.253467,166.4
4,5.347733,0.065113,374.043816,4.402056,332.8
6,3.621958,0.046689,552.275733,6.844966,499.2
8,2.732684,0.029285,731.963673,7.700321,665.6
10,2.194531,0.021415,911.440871,8.657412,832
12,1.830014,0.023242,1093.059908,13.528769,998.4
14,1.604708,0.0228,1246.574253,16.998659,1164.8
16,1.401253,0.023388,1427.671293,22.62347,1331.2
18,1.281217,0.043868,1562.615206,46.750692,1497.6
20,1.206467,0.073649,1662.5234,78.63079,1664
22,1.155736,0.084147,1737.270218,93.155828,1830.4
24,1.050842,0.109711,1917.081477,133.147735,1996.8
26,0.973036,0.142174,2081.607932,180.78054,2163.2
28,0.991401,0.152746,2045.677316,186.252083,2329.6
30,0.999854,0.166339,2031.16529,186.950748,2496
32,0.777207,0.125512,2613.0337,248.46616,2662.4
34,0.79631,0.125919,2548.988482,239.084477,2828.8
36,0.774296,0.152535,2636.62165,275.913417,2995.2
38,0.752261,0.157829,2719.398736,293.732568,3161.6
40,0.708874,0.162339,2896.520175,334.240796,3328
42,0.723494,0.143491,2819.211758,277.111067,3494.4
44,0.688656,0.156364,2981.133099,344.563908,3660.8
46,0.650495,0.17751,3173.539345,365.452655,3827.2
48,0.63357,0.171226,3268.995694,426.421469,3993.6
50,0.625946,0.170241,3297.128529,377.038891,4160
52,0.62409,0.195145,3346.877746,472.293515,4326.4
54,0.616548,0.20374,3391.389902,459.516046,4492.8
56,0.665455,0.188024,3115.65979,400.922891,4659.2
58,0.645312,0.18649,3218.906035,426.239005,4825.6
60,0.662658,0.178305,3121.203429,391.442938,4992
62,0.627036,0.186479,3320.600833,453.342208,5158.4
64,0.58673,0.196923,3584.021076,548.016432,5324.8
66,0.594321,0.189081,3499.989509,426.874913,5491.2
68,0.664247,0.209123,3159.194102,478.239633,5657.6
70,0.664657,0.225515,3156.831471,450.300187,5824
72,0.638028,0.218178,3275.472995,417.831412,5990.4
74,0.649701,0.190511,3190.203546,387.378805,6156.8
76,0.645465,0.236172,3253.835892,434.82471,6323.2
78,0.611939,0.205269,3417.59411,459.958917,6489.6
80,0.638239,0.200688,3274.808519,466.735956,6656
82,0.656768,0.216045,3189.7289,459.789207,6822.4
84,0.630414,0.195365,3298.356933,414.868658,6988.8
86,0.62277,0.187673,3339.048988,439.955886,7155.2
88,0.649792,0.19423,3195.021016,401.314986,7321.6
90,0.658422,0.190709,3146.583709,383.482942,7488
92,0.644005,0.220647,3246.772644,421.037201,7654.4
94,0.613549,0.201754,3406.195348,462.897724,7820.8
96,0.632109,0.220869,3330.537926,499.128599,7987.2
98,0.650614,0.219856,3241.039417,508.582902,8153.6
100,0.600134,0.217723,3533.56658,584.314014,8320
102,0.603826,0.201329,3474.500414,512.554078,8486.4
104,0.642078,0.232988,3298.725795,535.162636,8652.8
106,0.655214,0.241516,3259.984851,587.377165,8819.2
108,0.613464,0.221904,3455.39311,568.905742,8985.6
110,0.609417,0.257953,3494.962789,526.424184,9152
112,0.641217,0.259903,3360.424033,610.688031,9318.4
114,0.615345,0.221882,3429.051051,521.502447,9484.8
116,0.645917,0.236363,3304.254652,593.984648,9651.2
118,0.59179,0.209643,3557.585017,530.255361,9817.6
120,0.602108,0.198603,3483.800811,521.209901,9984
122,0.614898,0.288184,3518.20749,603.603121,10150.4
124,0.629351,0.23431,3396.720949,617.333742,10316.8
126,0.62224,0.261036,3479.663414,651.7165,10483.2
128,0.635955,0.276051,3427.942752,672.884786,10649.6
