num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
1,50.050674,0.09803,39.959654,0.077687,83.2
2,26.361152,0.615293,75.910094,1.752501,166.4
3,16.872189,0.261757,118.565652,1.765734,249.6
4,13.472554,0.22642,148.489863,2.375695,332.8
5,10.252614,0.145446,195.110364,2.690023,416
6,8.989476,0.204139,222.588782,4.689512,499.2
7,7.392431,0.137322,270.637618,4.880757,582.4
8,7.058829,0.169112,283.486302,6.395893,665.6
9,6.248696,0.112722,320.167221,5.569728,748.8
10,5.443166,0.191061,367.830917,11.344648,832
11,4.723733,0.19667,424.05785,15.963856,915.2
12,4.714534,0.145236,424.584865,11.844993,998.4
13,4.625878,0.066815,432.437094,6.007817,1081.6
14,3.905016,0.065803,512.301596,8.297267,1164.8
15,3.743853,0.056716,534.325252,7.677791,1248
16,3.491685,0.041743,572.868483,6.615483,1331.2
17,3.493772,0.042262,572.528582,6.726533,1414.4
18,3.132602,0.045367,638.573608,8.747752,1497.6
19,3.124172,0.038308,640.263143,7.621355,1580.8
20,2.815725,0.055209,710.55544,13.204528,1664
21,2.735142,0.041448,731.384938,10.666023,1747.2
22,2.533098,0.040591,789.743088,12.233871,1830.4
23,2.52855,0.042109,791.178756,12.718462,1913.6
24,2.369659,0.043843,844.280577,14.997373,1996.8
