num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
1,23.817056,0.011426,83.973455,0.040193,166.4
2,12.52451,0.223616,159.735925,2.74738,332.8
3,8.196833,0.155245,244.081203,4.463724,499.2
4,6.235508,0.101881,320.825822,5.025373,665.6
5,4.938237,0.10551,405.185259,8.541133,832
6,4.15344,0.084084,481.721319,9.523741,998.4
7,3.526603,0.104288,567.600785,16.329,1164.8
8,3.155751,0.062393,633.998968,11.910968,1331.2
9,2.73878,0.049262,730.48229,12.802456,1497.6
10,2.475798,0.047712,808.107146,14.893849,1664
11,2.266222,0.092165,883.903975,33.89602,1830.4
12,2.055339,0.038525,973.403769,17.519416,1996.8
13,2.063362,0.03837,969.617161,17.499048,2163.2
14,1.793509,0.042995,1115.744461,25.557104,2329.6
15,1.674299,0.029801,1194.898241,20.71547,2496
16,1.560739,0.041552,1282.302435,32.249587,2662.4
17,1.567743,0.040341,1276.513911,30.897533,2828.8
18,1.387792,0.033659,1441.949869,33.47353,2995.2
19,1.387162,0.038809,1442.873121,38.621778,3161.6
20,1.269001,0.047727,1578.078968,54.22105,3328
21,1.207338,0.029649,1657.51895,40.006274,3494.4
22,1.173443,0.028918,1705.406427,41.423318,3660.8
23,1.169702,0.02898,1710.864869,41.509495,3827.2
24,1.05353,0.036695,1900.53813,62.028968,3993.6
