num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,28.796085,0.004316,69.453888,0.010403
2,14.876122,0.317974,134.502384,2.749298
3,9.90774,0.194719,201.937371,3.817065
4,7.47422,0.128278,267.662202,4.415065
5,5.959647,0.087857,335.661369,4.817896
6,5.000472,0.08251,400.066942,6.346502
7,4.328117,0.051522,462.159124,5.413087
8,3.758334,0.050643,532.244631,6.97537
9,3.358616,0.048573,595.604713,8.385491
10,3.057778,0.052234,654.255744,10.890175
11,2.734355,0.047055,731.643472,12.180097
12,2.558218,0.037542,781.956565,11.063945
13,2.390913,0.035028,836.67564,11.94497
14,2.165919,0.027182,923.539747,11.500091
15,2.020839,0.03142,989.921865,15.036649
16,1.920989,0.028042,1041.347379,14.869482
17,1.818383,0.031641,1100.205083,18.79815
18,1.709458,0.029562,1170.3041,19.809977
19,1.598312,0.029566,1251.734644,22.416306
20,1.552095,0.024606,1288.899389,20.106553
21,1.468802,0.024253,1362.020863,22.242246
22,1.423128,0.023805,1405.741585,23.106879
23,1.373908,0.026416,1456.226889,27.305172
24,1.349631,0.031161,1482.657472,33.415083
