num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
1,49.407357,0.027758,40.479814,0.022773,83.2
2,25.013936,0.229969,79.962075,0.72275,166.4
3,16.667854,0.170386,120.003699,1.197849,249.6
4,13.320747,0.099184,150.149967,1.106878,332.8
5,10.256068,0.173335,195.061022,3.226244,416
6,8.786226,0.070632,227.643579,1.811189,499.2
7,7.679302,0.074356,260.465212,2.569188,582.4
8,6.942298,0.104554,288.151112,4.123928,665.6
9,6.17982,0.046466,323.652207,2.420332,748.8
10,5.415935,0.064413,369.331956,4.314252,832
11,5.00062,0.091949,400.085541,7.352067,915.2
12,4.75501,0.02345,420.619114,2.052446,998.4
13,4.614472,0.046043,433.461333,4.235816,1081.6
14,3.892989,0.060593,513.863488,7.675894,1164.8
15,3.759138,0.043059,532.104145,5.87591,1248
16,3.476846,0.035226,575.290829,5.609299,1331.2
17,3.491776,0.03602,572.833583,5.733885,1414.4
18,3.117115,0.056989,641.821658,11.093212,1497.6
19,3.125664,0.0537,640.043006,10.420515,1580.8
20,2.809825,0.056864,712.062868,13.580746,1664
21,2.721835,0.042904,734.970596,10.931086,1747.2
22,2.532191,0.052339,790.144844,15.258861,1830.4
23,2.541605,0.044364,787.132441,13.079583,1913.6
24,2.367383,0.040262,845.046734,13.638377,1996.8
