num_cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd,TPP
1,23.914022,0.001803,83.632942,0.006306,166.4
2,12.053627,0.141897,165.947671,1.912051,332.8
3,8.125414,0.118666,246.192397,3.497861,499.2
4,6.057276,0.075915,330.231999,4.037988,665.6
5,4.885777,0.119234,409.588094,9.69714,832
6,4.047215,0.037084,494.208106,4.486757,998.4
7,3.564625,0.090993,561.417794,13.67633,1164.8
8,3.126637,0.058792,639.881595,11.533912,1331.2
9,2.739254,0.02901,730.206405,7.624487,1497.6
10,2.467162,0.030396,810.769113,9.81806,1664
11,2.29357,0.03774,872.235147,14.111223,1830.4
12,2.023685,0.017131,988.366321,8.297912,1996.8
13,2.020413,0.016115,989.959228,7.843228,2163.2
14,1.79741,0.041944,1113.303837,25.359871,2329.6
15,1.665947,0.03069,1200.919268,21.777909,2496
16,1.5615,0.038282,1281.543711,29.562051,2662.4
17,1.562855,0.03825,1280.429206,29.436414,2828.8
18,1.389562,0.033039,1440.079294,32.685958,2995.2
19,1.385504,0.034117,1444.353912,33.954959,3161.6
20,1.259604,0.046787,1589.778264,53.343297,3328
21,1.196731,0.025757,1671.978896,35.301163,3494.4
22,1.168354,0.02298,1712.457451,32.900563,3660.8
23,1.168995,0.024493,1711.606766,35.128321,3827.2
24,1.054066,0.036134,1899.506517,61.050456,3993.6
